date,product,category,region,quantity,unit_price,revenue,cost
2024-01-05,Widget A,Electronics,North,120,29.99,3598.80,2159.28
2024-01-05,Widget B,Electronics,South,85,49.99,4249.15,2549.49
2024-01-05,Gadget X,Home,East,200,14.99,2998.00,1798.80
2024-01-12,Widget A,Electronics,West,95,29.99,2849.05,1709.43
2024-01-12,Widget C,Electronics,North,150,19.99,2998.50,1799.10
2024-01-12,Gadget Y,Home,South,180,24.99,4498.20,2698.92
2024-01-19,Widget A,Electronics,East,110,29.99,3298.90,1979.34
2024-01-19,Widget B,Electronics,North,70,49.99,3499.30,2099.58
2024-01-19,Gadget X,Home,West,220,14.99,3297.80,1978.68
2024-01-26,Widget C,Electronics,South,130,19.99,2598.70,1559.22
2024-01-26,Gadget Y,Home,East,160,24.99,3998.40,2399.04
2024-01-26,Gadget Z,Home,North,90,34.99,3149.10,1889.46
2024-02-02,Widget A,Electronics,South,140,29.99,4198.60,2519.16
2024-02-02,Widget B,Electronics,West,100,49.99,4999.00,2999.40
2024-02-02,Gadget X,Home,North,190,14.99,2848.10,1708.86
2024-02-09,Widget A,Electronics,East,105,29.99,3148.95,1889.37
2024-02-09,Widget C,Electronics,South,170,19.99,3398.30,2038.98
2024-02-09,Gadget Y,Home,West,145,24.99,3623.55,2174.13
2024-02-16,Widget B,Electronics,North,90,49.99,4499.10,2699.46
2024-02-16,Gadget Z,Home,East,110,34.99,3848.90,2309.34
2024-02-16,Gadget X,Home,South,210,14.99,3147.90,1888.74
2024-02-23,Widget A,Electronics,West,125,29.99,3748.75,2249.25
2024-02-23,Widget C,Electronics,North,140,19.99,2798.60,1679.16
2024-02-23,Gadget Y,Home,East,175,24.99,4373.25,2623.95
2024-03-01,Widget A,Electronics,South,135,29.99,4048.65,2429.19
2024-03-01,Widget B,Electronics,East,115,49.99,5748.85,3449.31
2024-03-01,Gadget Z,Home,West,100,34.99,3499.00,2099.40
2024-03-08,Widget C,Electronics,North,160,19.99,3198.40,1919.04
2024-03-08,Gadget X,Home,South,230,14.99,3447.70,2068.62
2024-03-08,Gadget Y,Home,East,155,24.99,3873.45,2324.07
2024-03-15,Widget A,Electronics,West,100,29.99,2999.00,1799.40
2024-03-15,Widget B,Electronics,North,80,49.99,3999.20,2399.52
2024-03-15,Gadget Z,Home,South,120,34.99,4198.80,2519.28
2024-03-22,Widget A,Electronics,East,145,29.99,4348.55,2609.13
2024-03-22,Widget C,Electronics,West,135,19.99,2698.65,1619.19
2024-03-22,Gadget X,Home,North,185,14.99,2773.15,1663.89
2024-03-29,Widget B,Electronics,South,95,49.99,4749.05,2849.43
2024-03-29,Gadget Y,Home,West,165,24.99,4123.35,2474.01
2024-03-29,Gadget Z,Home,East,105,34.99,3673.95,2204.37
2024-04-05,Widget A,Electronics,North,155,29.99,4648.45,2789.07
